id,condition,measurement,position,trace,marker0,marker1,t_event0,t_event1,delay
1,NP100,20180119,10_2,1,tmrm,ros,-inf,26.867,NaN
2,NP100,20180119,10_2,2,tmrm,ros,5.349,24.417,19.068
3,NP100,20180119,10_2,3,tmrm,ros,3.1005,inf,NaN
4,NP100,20180119,10_2,4,tmrm,ros,-inf,29.917,NaN
5,NP100,20180119,10_2,5,tmrm,ros,-inf,inf,NaN
6,NP100,20180119,10_2,6,tmrm,ros,2.5080999999999998,inf,NaN
7,NP100,20180119,10_2,7,tmrm,ros,6.3062,7.8423,1.5361000000000002
8,NP100,20180119,10_2,8,tmrm,ros,2.8277,inf,NaN
9,NP100,20180119,10_2,9,tmrm,ros,-inf,NaN,NaN
10,NP100,20180119,10_2,10,tmrm,ros,2.9491,inf,NaN
11,NP100,20180119,10_2,11,tmrm,ros,NaN,inf,NaN
12,NP100,20180119,10_2,12,tmrm,ros,4.835100000000001,inf,NaN
13,NP100,20180119,10_2,13,tmrm,ros,3.1956,inf,NaN
14,NP100,20180119,10_2,14,tmrm,ros,3.2187,5.9172,2.6985
15,NP100,20180119,10_2,15,tmrm,ros,-inf,-inf,NaN
16,NP100,20180119,10_2,16,tmrm,ros,2.3289,-inf,NaN
17,NP100,20180119,10_2,17,tmrm,ros,4.8612,12.19,7.328799999999999
18,NP100,20180119,10_2,18,tmrm,ros,-inf,8.219999999999999,NaN
19,NP100,20171215,10_4,1,tmrm,ros,NaN,inf,NaN
20,NP100,20171215,10_4,2,tmrm,ros,3.0368,inf,NaN
21,NP100,20171215,10_4,3,tmrm,ros,3.3759,inf,NaN
22,NP100,20171215,10_4,4,tmrm,ros,2.7635,inf,NaN
23,NP100,20171215,10_4,5,tmrm,ros,2.5300000000000002,inf,NaN
24,NP100,20171215,10_4,6,tmrm,ros,NaN,17.963,NaN
25,NP100,20171215,10_4,7,tmrm,ros,NaN,inf,NaN
26,NP100,20171215,10_4,8,tmrm,ros,NaN,inf,NaN
27,NP100,20171215,10_4,9,tmrm,ros,NaN,inf,NaN
28,NP100,20171215,10_4,10,tmrm,ros,2.6111,inf,NaN
29,NP100,20171215,10_4,11,tmrm,ros,2.9951,inf,NaN
30,NP100,20171215,10_4,12,tmrm,ros,-inf,NaN,NaN
31,NP100,20171215,10_4,13,tmrm,ros,NaN,2.5552,NaN
32,NP100,20171215,10_4,14,tmrm,ros,NaN,-inf,NaN
33,NP100,20171215,10_4,15,tmrm,ros,NaN,4.4147,NaN
34,NP100,20171215,10_4,16,tmrm,ros,5.1271,5.929,0.8018999999999998
35,NP100,20171215,10_4,17,tmrm,ros,NaN,3.125,NaN
36,NP100,20180119,11_2,1,tmrm,ros,2.6052,inf,NaN
37,NP100,20180119,11_2,2,tmrm,ros,3.3601,inf,NaN
38,NP100,20180119,11_2,3,tmrm,ros,2.7762000000000002,inf,NaN
39,NP100,20180119,11_2,4,tmrm,ros,3.723,inf,NaN
40,NP100,20180119,11_2,5,tmrm,ros,-inf,inf,NaN
41,NP100,20180119,11_2,6,tmrm,ros,4.777,inf,NaN
42,NP100,20180119,11_2,7,tmrm,ros,4.7119,inf,NaN
43,NP100,20180119,11_2,8,tmrm,ros,-inf,inf,NaN
44,NP100,20180119,11_2,9,tmrm,ros,10.9833,inf,NaN
45,NP100,20180119,11_2,10,tmrm,ros,-inf,inf,NaN
46,NP100,20180119,11_2,11,tmrm,ros,3.4667,-inf,NaN
47,NP100,20180119,11_2,12,tmrm,ros,NaN,inf,NaN
48,NP100,20180119,11_2,13,tmrm,ros,4.4554,12.217,7.7616000000000005
49,NP100,20180119,11_2,14,tmrm,ros,6.9093,7.9385,1.0292000000000003
50,NP100,20180119,11_2,15,tmrm,ros,4.1,inf,NaN
51,NP100,20180119,11_2,16,tmrm,ros,4.0885,inf,NaN
52,NP100,20180119,11_2,17,tmrm,ros,3.8748,9.4039,5.5291
53,NP100,20171215,11_4,1,tmrm,ros,8.1074,inf,NaN
54,NP100,20171215,11_4,2,tmrm,ros,-inf,inf,NaN
55,NP100,20171215,11_4,3,tmrm,ros,3.2957,inf,NaN
56,NP100,20171215,11_4,4,tmrm,ros,4.0823,inf,NaN
57,NP100,20171215,11_4,5,tmrm,ros,4.0886,inf,NaN
58,NP100,20171215,11_4,6,tmrm,ros,3.8016,4.7619,0.9602999999999997
59,NP100,20171215,11_4,7,tmrm,ros,-inf,NaN,NaN
60,NP100,20171215,11_4,8,tmrm,ros,3.5581,inf,NaN
61,NP100,20171215,11_4,9,tmrm,ros,3.8751,5.4367,1.5615999999999999
62,NP100,20171215,11_4,10,tmrm,ros,3.915,5.4773,1.5622999999999996
63,NP100,20171215,11_4,11,tmrm,ros,2.343,3.6235,1.2805
64,NP100,20171215,11_4,12,tmrm,ros,3.2,7.1223,3.9223
65,NP100,20171215,11_4,13,tmrm,ros,2.1980399999999998,NaN,NaN
66,NP100,20171215,11_4,14,tmrm,ros,5.2099,8.239,3.0291000000000006
67,NP100,20171215,11_4,15,tmrm,ros,1.81667,NaN,NaN
68,NP100,20171215,11_4,16,tmrm,ros,-inf,2.3446,NaN
69,NP100,20171215,11_4,17,tmrm,ros,5.3823,5.7647,0.3824000000000005
70,NP100,20171215,11_4,18,tmrm,ros,-inf,8.2667,NaN
71,NP100,20171215,11_4,19,tmrm,ros,-inf,-inf,NaN
72,NP100,20171215,11_4,20,tmrm,ros,3.7262,4.5804,0.8542000000000001
73,NP100,20171215,11_4,21,tmrm,ros,-inf,-inf,NaN
74,NP100,20171215,11_4,22,tmrm,ros,-inf,-inf,NaN
75,NP100,20180119,12_2,1,tmrm,ros,3.0466,inf,NaN
76,NP100,20180119,12_2,2,tmrm,ros,2.7,inf,NaN
77,NP100,20180119,12_2,3,tmrm,ros,4.633900000000001,inf,NaN
78,NP100,20180119,12_2,4,tmrm,ros,3.7542,inf,NaN
79,NP100,20180119,12_2,5,tmrm,ros,2.496,inf,NaN
80,NP100,20180119,12_2,6,tmrm,ros,-inf,inf,NaN
81,NP100,20180119,12_2,7,tmrm,ros,2.1946000000000003,inf,NaN
82,NP100,20180119,12_2,8,tmrm,ros,4.0676000000000005,inf,NaN
83,NP100,20180119,12_2,9,tmrm,ros,5.767,inf,NaN
84,NP100,20180119,12_2,10,tmrm,ros,-inf,inf,NaN
85,NP100,20180119,12_2,11,tmrm,ros,-inf,inf,NaN
86,NP100,20180119,12_2,12,tmrm,ros,NaN,NaN,NaN
87,NP100,20180119,12_2,13,tmrm,ros,6.3667,inf,NaN
88,NP100,20180119,12_2,14,tmrm,ros,4.8248,6.9567,2.1319
89,NP100,20180119,12_2,15,tmrm,ros,4.8667,inf,NaN
90,NP100,20180119,12_2,16,tmrm,ros,2.3154,inf,NaN
91,NP100,20180119,12_2,17,tmrm,ros,3.2743,NaN,NaN
92,NP100,20180119,12_2,18,tmrm,ros,2.6521,NaN,NaN
93,NP100,20171215,12_4,1,tmrm,ros,NaN,inf,NaN
94,NP100,20171215,12_4,2,tmrm,ros,2.918,inf,NaN
95,NP100,20171215,12_4,3,tmrm,ros,4.8904,6.6438,1.7534
96,NP100,20171215,12_4,4,tmrm,ros,4.7193000000000005,inf,NaN
97,NP100,20171215,12_4,5,tmrm,ros,3.2715,inf,NaN
98,NP100,20171215,12_4,6,tmrm,ros,NaN,8.091899999999999,NaN
99,NP100,20171215,12_4,7,tmrm,ros,2.7619,inf,NaN
100,NP100,20171215,12_4,8,tmrm,ros,3.511,inf,NaN
101,NP100,20171215,12_4,9,tmrm,ros,4.052,6.515,2.463
102,NP100,20171215,12_4,10,tmrm,ros,4.0469,6.165,2.1181
103,NP100,20171215,12_4,11,tmrm,ros,4.4945,6.6368,2.1422999999999996
104,NP100,20171215,12_4,12,tmrm,ros,7.8833,6.0347,-1.8486000000000002
105,NP100,20171215,12_4,13,tmrm,ros,5.3194,-inf,NaN
106,NP100,20171215,12_4,14,tmrm,ros,NaN,inf,NaN
107,NP100,20171215,12_4,15,tmrm,ros,3.0872,4.997199999999999,1.9099999999999993
108,NP100,20171215,12_4,16,tmrm,ros,3.2906,3.0212000000000003,-0.26939999999999964
109,NP100,20180119,13_2,1,tmrm,ros,5.2529,inf,NaN
110,NP100,20180119,13_2,2,tmrm,ros,4.1292,inf,NaN
111,NP100,20180119,13_2,3,tmrm,ros,NaN,inf,NaN
112,NP100,20180119,13_2,4,tmrm,ros,NaN,inf,NaN
113,NP100,20180119,13_2,5,tmrm,ros,6.5356,-inf,NaN
114,NP100,20180119,13_2,6,tmrm,ros,NaN,NaN,NaN
115,NP100,20180119,13_2,7,tmrm,ros,3.1967,inf,NaN
116,NP100,20180119,13_2,8,tmrm,ros,NaN,-inf,NaN
117,NP100,20180119,13_2,9,tmrm,ros,-inf,-inf,NaN
118,NP100,20180119,13_2,10,tmrm,ros,NaN,-inf,NaN
119,NP100,20180119,13_2,11,tmrm,ros,-inf,3.4546,NaN
120,NP100,20180119,13_2,12,tmrm,ros,4.1035,5.0399,0.9363999999999999
121,NP100,20180119,13_2,13,tmrm,ros,-inf,-inf,NaN
122,NP100,20171215,13_4,1,tmrm,ros,-inf,inf,NaN
123,NP100,20171215,13_4,2,tmrm,ros,-inf,inf,NaN
124,NP100,20171215,13_4,3,tmrm,ros,8.6561,inf,NaN
125,NP100,20171215,13_4,4,tmrm,ros,-inf,7.9635,NaN
126,NP100,20171215,13_4,5,tmrm,ros,7.9614,inf,NaN
127,NP100,20171215,13_4,6,tmrm,ros,16.767,inf,NaN
128,NP100,20171215,13_4,7,tmrm,ros,-inf,inf,NaN
129,NP100,20171215,13_4,8,tmrm,ros,8.42,inf,NaN
130,NP100,20171215,13_4,9,tmrm,ros,7.6937,8.5496,0.8559000000000001
131,NP100,20171215,13_4,10,tmrm,ros,10.9,10.6584,-0.24160000000000004
132,NP100,20171215,13_4,11,tmrm,ros,-inf,inf,NaN
133,NP100,20171215,13_4,12,tmrm,ros,8.5122,inf,NaN
134,NP100,20171215,13_4,13,tmrm,ros,-inf,8.913499999999999,NaN
135,NP100,20171215,13_4,14,tmrm,ros,7.5169,7.7412,0.2243000000000004
136,NP100,20171215,13_4,15,tmrm,ros,8.1592,9.224,1.0648
137,NP100,20171215,13_4,16,tmrm,ros,8.153500000000001,7.36,-0.7935000000000008
138,NP100,20171215,13_4,17,tmrm,ros,7.9427,-inf,NaN
139,NP100,20171215,13_4,18,tmrm,ros,8.9468,inf,NaN
140,NP100,20171215,13_4,19,tmrm,ros,7.9307,inf,NaN
141,NP100,20171215,13_4,20,tmrm,ros,10.8833,10.7667,-0.11660000000000004
142,NP100,20171215,13_4,21,tmrm,ros,6.1477,inf,NaN
143,NP100,20171215,13_4,22,tmrm,ros,7.5693,8.9307,1.3613999999999997
144,NP100,20171215,13_4,23,tmrm,ros,8.004999999999999,8.2295,0.2245000000000008
145,NP100,20171215,14_4,1,tmrm,ros,NaN,inf,NaN
146,NP100,20171215,14_4,2,tmrm,ros,-inf,NaN,NaN
147,NP100,20171215,14_4,3,tmrm,ros,NaN,inf,NaN
148,NP100,20171215,14_4,4,tmrm,ros,-inf,inf,NaN
149,NP100,20171215,14_4,5,tmrm,ros,20.883,inf,NaN
150,NP100,20171215,14_4,6,tmrm,ros,-inf,13.553,NaN
151,NP100,20171215,14_4,7,tmrm,ros,-inf,5.9173,NaN
152,NP100,20171215,14_4,8,tmrm,ros,-inf,4.8667,NaN
153,NP100,20171215,14_4,9,tmrm,ros,3.4436,NaN,NaN
154,NP100,20171215,14_4,10,tmrm,ros,3.5225,4.3358,0.8132999999999999
155,NP100,20171215,14_4,11,tmrm,ros,-inf,-inf,NaN
156,NP100,20171215,14_4,12,tmrm,ros,16.4,16.4,0.0
157,NP100,20171215,14_4,13,tmrm,ros,2.5407,3.4197,0.879
158,NP100,20171215,14_4,14,tmrm,ros,-inf,4.895,NaN
159,NP100,20171215,14_4,15,tmrm,ros,6.868,18.8,11.932
160,NP100,20171215,14_4,16,tmrm,ros,4.4475999999999996,-inf,NaN
161,NP100,20171215,14_4,17,tmrm,ros,4.184200000000001,3.8844,-0.29980000000000073
162,NP100,20171215,14_4,18,tmrm,ros,2.7545,2.5526999999999997,-0.20180000000000042
163,NP100,20171215,14_4,19,tmrm,ros,5.3109,-inf,NaN
164,NP100,20171215,14_4,20,tmrm,ros,3.248,-inf,NaN
165,NP100,20171215,14_4,21,tmrm,ros,-inf,-inf,NaN
166,NP100,20171215,14_4,22,tmrm,ros,4.0748999999999995,4.4884,0.41350000000000087
167,NP100,20171215,14_4,23,tmrm,ros,-inf,-inf,NaN
168,NP100,20171215,14_4,24,tmrm,ros,3.1882,4.105,0.9168000000000003
169,NP100,20171215,14_4,25,tmrm,ros,2.9785,3.5703,0.5918000000000001
170,NP100,20171215,14_4,26,tmrm,ros,6.8396,-inf,NaN
171,NP100,20171215,14_4,27,tmrm,ros,4.1022,4.744,0.6417999999999999
172,NP100,20171215,14_4,28,tmrm,ros,3.731,3.7708,0.03980000000000006
173,NP100,20171215,15_4,1,tmrm,ros,3.9954,-inf,NaN
174,NP100,20171215,15_4,2,tmrm,ros,4.9411000000000005,inf,NaN
175,NP100,20171215,15_4,3,tmrm,ros,3.5108,-inf,NaN
176,NP100,20171215,15_4,4,tmrm,ros,NaN,-inf,NaN
177,NP100,20171215,15_4,5,tmrm,ros,4.581799999999999,inf,NaN
178,NP100,20171215,15_4,6,tmrm,ros,3.7296,inf,NaN
179,NP100,20171215,15_4,7,tmrm,ros,4.6226,8.1167,3.4940999999999995
180,NP100,20171215,15_4,8,tmrm,ros,-inf,12.917,NaN
181,NP100,20171215,15_4,9,tmrm,ros,-inf,7.8307,NaN
182,NP100,20171215,15_4,10,tmrm,ros,2.8638,inf,NaN
183,NP100,20171215,15_4,11,tmrm,ros,10.7167,9.9188,-0.7979000000000003
184,NP100,20171215,15_4,12,tmrm,ros,7.846,7.2577,-0.5883000000000003
185,NP100,20171215,15_4,13,tmrm,ros,2.01667,4.6362000000000005,2.6195300000000006
186,NP100,20171215,15_4,14,tmrm,ros,NaN,inf,NaN
187,NP100,20171215,15_4,15,tmrm,ros,2.752,3.6226,0.8706
188,NP100,20171215,15_4,16,tmrm,ros,3.3996,3.7462,0.3466
189,NP100,20171215,15_4,17,tmrm,ros,3.6484,-inf,NaN
190,NP100,20171215,15_4,18,tmrm,ros,6.6874,5.1,-1.5874000000000006
191,NP100,20171215,15_4,19,tmrm,ros,-inf,-inf,NaN
192,NP100,20171215,16_4,1,tmrm,ros,3.7178,inf,NaN
193,NP100,20171215,16_4,2,tmrm,ros,3.3769,inf,NaN
194,NP100,20171215,16_4,3,tmrm,ros,3.9205,inf,NaN
195,NP100,20171215,16_4,4,tmrm,ros,3.96,inf,NaN
196,NP100,20171215,16_4,5,tmrm,ros,2.6,inf,NaN
197,NP100,20171215,16_4,6,tmrm,ros,-inf,inf,NaN
198,NP100,20171215,16_4,7,tmrm,ros,-inf,inf,NaN
199,NP100,20171215,16_4,8,tmrm,ros,16.7,NaN,NaN
200,NP100,20171215,16_4,9,tmrm,ros,3.8439,inf,NaN
201,NP100,20171215,16_4,10,tmrm,ros,-inf,inf,NaN
202,NP100,20171215,16_4,11,tmrm,ros,2.12096,inf,NaN
203,NP100,20171215,16_4,12,tmrm,ros,6.0167,inf,NaN
204,NP100,20171215,16_4,13,tmrm,ros,4.3117,inf,NaN
205,NP100,20171215,16_4,14,tmrm,ros,3.0968,inf,NaN
206,NP100,20171215,16_4,15,tmrm,ros,-inf,inf,NaN
207,NP100,20171215,16_4,16,tmrm,ros,3.5171,inf,NaN
208,NP100,20171215,16_4,17,tmrm,ros,2.7347,inf,NaN
209,NP100,20171215,16_4,18,tmrm,ros,-inf,inf,NaN
210,NP100,20171215,16_4,19,tmrm,ros,3.0174000000000003,3.3469,0.3294999999999999
211,NP100,20171215,16_4,20,tmrm,ros,3.1974,5.6181,2.4207
212,NP100,20171215,16_4,21,tmrm,ros,3.0582000000000003,5.9307,2.8724999999999996
213,NP100,20171215,16_4,22,tmrm,ros,3.4502,5.8957,2.4454999999999996
214,NP100,20171215,16_4,23,tmrm,ros,8.4833,7.7962,-0.6871
215,NP100,20171215,16_4,24,tmrm,ros,2.5854,3.0414000000000003,0.4560000000000004
216,NP100,20171215,16_4,25,tmrm,ros,NaN,4.570600000000001,NaN
217,NP100,20171215,17_4,1,tmrm,ros,3.0,inf,NaN
218,NP100,20171215,17_4,2,tmrm,ros,-inf,inf,NaN
219,NP100,20171215,17_4,3,tmrm,ros,2.6803,inf,NaN
220,NP100,20171215,17_4,4,tmrm,ros,2.8452,inf,NaN
221,NP100,20171215,17_4,5,tmrm,ros,4.2722,inf,NaN
222,NP100,20171215,17_4,6,tmrm,ros,3.5134,inf,NaN
223,NP100,20171215,17_4,7,tmrm,ros,3.0993,inf,NaN
224,NP100,20171215,17_4,8,tmrm,ros,3.6766,inf,NaN
225,NP100,20171215,17_4,9,tmrm,ros,-inf,14.158,NaN
226,NP100,20171215,17_4,10,tmrm,ros,6.7539,inf,NaN
227,NP100,20171215,17_4,11,tmrm,ros,3.2832,inf,NaN
228,NP100,20171215,17_4,12,tmrm,ros,-inf,14.3,NaN
229,NP100,20171215,17_4,13,tmrm,ros,NaN,inf,NaN
230,NP100,20171215,17_4,14,tmrm,ros,-inf,inf,NaN
231,NP100,20171215,17_4,15,tmrm,ros,-inf,-inf,NaN
232,NP100,20171215,17_4,16,tmrm,ros,-inf,-inf,NaN
233,NP100,20171215,17_4,17,tmrm,ros,3.1295,inf,NaN
234,NP100,20171215,17_4,18,tmrm,ros,5.1152999999999995,5.4674,0.3521000000000001
235,NP100,20171215,17_4,19,tmrm,ros,3.2271,-inf,NaN
236,NP100,20171215,17_4,20,tmrm,ros,-inf,-inf,NaN
237,NP100,20171215,17_4,21,tmrm,ros,3.1174999999999997,inf,NaN
238,NP100,20171215,17_4,22,tmrm,ros,-inf,-inf,NaN
239,NP100,20171215,17_4,23,tmrm,ros,-inf,2.3011999999999997,NaN
240,NP100,20171215,17_4,24,tmrm,ros,4.0306999999999995,3.3976,-0.6330999999999993
241,NP100,20171215,17_4,25,tmrm,ros,2.9827,-inf,NaN
242,NP100,20180119,1_2,1,tmrm,ros,5.0906,inf,NaN
243,NP100,20180119,1_2,2,tmrm,ros,3.778,inf,NaN
244,NP100,20180119,1_2,3,tmrm,ros,4.223,inf,NaN
245,NP100,20180119,1_2,4,tmrm,ros,-inf,inf,NaN
246,NP100,20180119,1_2,5,tmrm,ros,-inf,inf,NaN
247,NP100,20180119,1_2,6,tmrm,ros,7.0313,14.03,6.9986999999999995
248,NP100,20180119,1_2,7,tmrm,ros,2.873,inf,NaN
249,NP100,20180119,1_2,8,tmrm,ros,4.809699999999999,NaN,NaN
250,NP100,20180119,1_2,9,tmrm,ros,-inf,-inf,NaN
251,NP100,20180119,1_2,10,tmrm,ros,3.0007,NaN,NaN
252,NP100,20180119,1_2,11,tmrm,ros,6.9918,inf,NaN
253,NP100,20180119,1_2,12,tmrm,ros,3.1867,-inf,NaN
254,NP100,20180119,1_2,13,tmrm,ros,3.2768,inf,NaN
255,NP100,20180119,1_2,14,tmrm,ros,4.4886,inf,NaN
256,NP100,20180119,1_2,15,tmrm,ros,2.7396000000000003,-inf,NaN
257,NP100,20180119,1_2,16,tmrm,ros,5.722,8.9415,3.219499999999999
258,NP100,20180119,1_2,17,tmrm,ros,-inf,inf,NaN
259,NP100,20180119,1_2,18,tmrm,ros,4.7695,inf,NaN
260,NP100,20180119,1_2,19,tmrm,ros,-inf,inf,NaN
261,NP100,20180119,1_2,20,tmrm,ros,3.1083,inf,NaN
262,NP100,20180119,1_2,21,tmrm,ros,6.4994,inf,NaN
263,NP100,20171215,1_4,1,tmrm,ros,4.194,7.7138,3.5198
264,NP100,20171215,1_4,2,tmrm,ros,3.916,4.8438,0.9278
265,NP100,20171215,1_4,3,tmrm,ros,2.8335999999999997,4.0154,1.1818
266,NP100,20171215,1_4,4,tmrm,ros,-inf,4.8421,NaN
267,NP100,20171215,1_4,5,tmrm,ros,3.7896,5.5588,1.7691999999999997
268,NP100,20171215,1_4,6,tmrm,ros,5.7406,7.4894,1.7488000000000001
269,NP100,20171215,1_4,7,tmrm,ros,3.6807,3.7159,0.03520000000000012
270,NP100,20171215,1_4,8,tmrm,ros,NaN,8.9072,NaN
271,NP100,20171215,1_4,9,tmrm,ros,-inf,NaN,NaN
272,NP100,20171215,1_4,10,tmrm,ros,-inf,3.473,NaN
273,NP100,20171215,1_4,11,tmrm,ros,11.317,9.0494,-2.2676
274,NP100,20171215,1_4,12,tmrm,ros,4.413600000000001,inf,NaN
275,NP100,20171215,1_4,13,tmrm,ros,4.775399999999999,5.2064,0.43100000000000094
276,NP100,20171215,1_4,14,tmrm,ros,3.2291,3.5056,0.27649999999999997
277,NP100,20171215,1_4,15,tmrm,ros,3.6409,8.8921,5.251199999999999
278,NP100,20171215,1_4,16,tmrm,ros,NaN,inf,NaN
279,NP100,20171215,1_4,17,tmrm,ros,-inf,inf,NaN
280,NP100,20171215,1_4,18,tmrm,ros,4.1895,4.7477,0.5582000000000003
281,NP100,20171215,1_4,19,tmrm,ros,3.1273999999999997,4.2904,1.1630000000000003
282,NP100,20171215,1_4,20,tmrm,ros,4.4623,5.8889,1.4265999999999996
283,NP100,20171215,1_4,21,tmrm,ros,6.0017,9.6712,3.669500000000001
284,NP100,20171215,1_4,22,tmrm,ros,2.2784,inf,NaN
285,NP100,20171215,1_4,23,tmrm,ros,2.9674,-inf,NaN
286,NP100,20171215,1_4,24,tmrm,ros,7.3667,7.0333,-0.33340000000000014
287,NP100,20171215,1_4,25,tmrm,ros,4.7894000000000005,5.6833,0.8938999999999995
288,NP100,20171215,1_4,26,tmrm,ros,2.6620999999999997,3.4205,0.7584000000000004
